CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8169","ACCT 200","1","Accounting Concepts","3","","Lec","MWF","0900-0950","LUTR 139","Hutt, Melvyn","4","Open",
"8170","ACCT 200","2","Accounting Concepts","3","","Lec","MWF","1000-1050","LUTR 139","Hutt, Melvyn","2","Open",
"8171","ACCT 201","1","Prin of Account I: Financial","3","","Lec","MW","1600-1715","LUTR 347","Frucot, Veronique","0","Closed",
"8172","ACCT 201","2","Prin of Account I: Financial","3","","Lec","MWF","1400-1450","LUTR 269","Lingenfelter, Gabriele","0","Closed",
"8173","ACCT 201","3","Prin of Account I: Financial","3","","Lec","MWF","0900-0950","LUTR 264","Lingenfelter, Gabriele","0","Closed",
"8174","ACCT 202","1","Prin of Account II: Managerial","3","","Lec","MW","1600-1715","LUTR 139","Morris, Joseph","0","Closed",
"8175","ACCT 202","2","Prin of Account II: Managerial","3","","Lec","MWF","0900-0950","LUTR 347","Brooks, Abby-Gayle","0","Closed",
"8176","ACCT 202","3","Prin of Account II: Managerial","3","","Lec","MWF","1000-1050","LUTR 347","Brooks, Abby-Gayle","0","Closed",
"8177","ACCT 202","4","Prin of Account II: Managerial","3","","Lec","MWF","1400-1450","LUTR 139","Hutt, Melvyn","0","Closed",
"8178","ACCT 202","5","Prin of Account II: Managerial","3","","Lec","MWF","1500-1550","LUTR 139","Hutt, Melvyn","4","Open",
"8179","ACCT 202","6","Prin of Account II: Managerial","3","","Lec","TR","1500-1615","LUTR 139","Staff, CNU","1","Open",
"8180","ACCT 202","7","Prin of Account II: Managerial","3","","Lec","TR","1630-1745","LUTR 139","Staff, CNU","2","Open",
"8181","ACCT 202","8","Prin of Account II: Managerial","3","","Lec","MW","1800-1915","LUTR 139","Morris, Joseph","0","Closed",
"8182","ACCT 301","1","Intermediate Accounting I","3","","Lec","TR","0930-1045","TRIB 208","Frucot, Veronique","4","Open",
"8183","ACCT 302","1","Intermediate Accounting II","3","","Lec","MWF","1200-1250","LUTR 139","Brooks, Abby-Gayle","2","Open",
"8184","ACCT 302","2","Intermediate Accounting II","3","","Lec","MWF","1300-1350","LUTR 139","Brooks, Abby-Gayle","10","Open",
"8185","ACCT 303","1","Cost/Managerial Accounting","3","","Lec","TR","1330-1445","LUTR 105","Chung, Keun Ho","2","Open",
"8186","ACCT 401","1","Taxation","3","","Lec","TR","1800-1915","LUTR 264","Morris, Joseph","3","Open",
"8187","ACCT 402","1","Advanced Taxation","3","","Lec","TR","1630-1745","LUTR 264","Morris, Joseph","0","Closed",
"8188","ACCT 404","1","Volunteer Income Tax Assist","1","","Int","","","ARR ","Lingenfelter, Gabriele","0","Closed",
"8190","ACCT 405","1","Auditing","3","","Lec","MWF","1100-1150","LUTR 131","Espahbodi, Reza","6","Open",
"8191","ACCT 406","1","WI:Case Studies in Accounting","3","  WI","Lec","MWF","0800-0850","LUTR 264","Lingenfelter, Gabriele","0","Closed",
"8193","ACCT 451","1","Govt &amp; Nonprof Acctng &amp; Topics","3","","Lec","MW","1800-1915","LUTR 347","Frucot, Veronique","7","Open",
"8703","AMST 100","1","The American Experiment","3","  AIDE  ","Lec","TR","1100-1215","MCM 360","Morrison, Jeffry","0","Closed",
"8704","AMST 100","2","The American Experiment","3","  AIDE  ","Lec","MWF","0900-0950","MCM 360","Garmon, Frank","0","Closed",
"8705","AMST 100","3","The American Experiment","3","  AIDE  ","Lec","MW","1600-1715","MCM 366","Morrison, Jeffry","1","Open",
"8706","AMST 100","4","The American Experiment","3","  AIDE  ","Lec","TR","1630-1745","MCM 366","Morrison, Jeffry","0","Closed",
"8707","AMST 100","5","The American Experiment","3","  AIDE  ","Lec","TR","1800-1915","MCM 364","White, William","0","Closed",
"8708","AMST 100","6","The American Experiment","3","  AIDE  ","Lec","TR","1930-2045","MCM 364","White, William","1","Open",
"8709","AMST 100","7","The American Experiment","3","  AIDE  ","Lec","MWF","1300-1350","FORBES 2014","Garmon, Frank","0","Closed",
"8710","AMST 100","8","The American Experiment","3","  AIDE  ","Lec","TR","1330-1445","MCM 310","Colby, Robert","0","Closed",
"9236","AMST 100","9","The American Experiment","3","  AIDE  ","Lec","MW","1930-2045","MCM 257","Asalone, Ryan","0","Closed",
"8713","AMST 200","1","Evolution-American Experiment","3","  AIWT","Lec","MWF","1000-1050","MCM 360","Kaufer Busch, Elizabeth","1","Open",
"8714","AMST 200","2","Evolution-American Experiment","3","  AIWT","Lec","MWF","1100-1150","MCM 360","Kaufer Busch, Elizabeth","0","Closed",
"8715","AMST 300","1","The American Exp: Global Infl","3","  AIGM","Lec","MWF","1400-1450","MCM 160","McCarthy, William","0","Closed",
"8716","AMST 330","1","Treason in America","3","","Lec","TR","0930-1045","MCM 360","White, Jonathan","0","Closed",
"8717","AMST 395","1","SPC TP:Grnd Strat &amp; Amer Rep","3","","Lec","MWF","1300-1350","MCM 160","McCarthy, William","0","Closed",
"8718","AMST 490","1","WI: Capstone Sem-Amer Studies","3","  WI","Lec","TR","1500-1615","MCM 310","Colby, Robert","3","Open",
"8992","ANTH 200","1","Human Adaptation","3","  AINW","Lec","TR","0800-0915","LUTR 372","Hager, Laurie","0","Closed",
"8993","ANTH 200","2","Human Adaptation","3","  AINW","Lec","MWF","0800-0850","LUTR 170","Hager, Laurie","0","Closed",
"8994","ANTH 203","1","Cultural Anthropology","3","  AIGM","Lec","TR","1330-1445","FORBES 2070C","Pompeii, Brian","0","Closed",
"8995","ANTH 203","2","Cultural Anthropology","3","  AIGM","Lec","MWF","1300-1350","LUTR 347","Pompeii, Brian","0","Closed",
"8996","ANTH 203","3","Cultural Anthropology","3","  AIGM","Lec","MWF","1500-1550","LUTR 167","Pompeii, Brian","0","Closed",
"8997","ANTH 309","1","The Refugee Experience","3","  AIGM","Lec","MWF","1100-1150","FORBES 3014","Timmer, Andria","0","Closed",
"9280","ANTH 309","2","The Refugee Experience","3","  AIGM","Lec","MWF","1200-1250","FORBES 3014","Timmer, Andria","3","Open",
"8998","ANTH 331","1","Environment, Culture &amp; Society","3","","Lec","MWF","0900-0950","FORBES 3012","Loy, Christopher","1","Open",
"8999","ANTH 345","1","Forensic Anthropology","3","","Lec","MWF","1400-1450","FORBES 2070C","Loy, Christopher","5","Open",
"9000","ANTH 377","1","Women, Gender and Culture","3","  AIGM","Lec","MW","1600-1715","LUTR 167","Dick-Mosher, Jennifer","0","Closed",
"9001","ANTH 377","2","Women, Gender and Culture","3","  AIGM","Lec","MW","1800-1915","LUTR 167","Dick-Mosher, Jennifer","6","Open",
"8615","ARAB 102","1","Beginning Arabic II","3","","Lec","MWF","1000-1050","MCM 257","Obeid, Diana","1","Open",
"8616","ARAB 102","2","Beginning Arabic II","3","","Lec","MWF","1100-1150","MCM 257","Obeid, Diana","4","Open",
"8617","ARAB 202","1","Intermediate Arabic II","3","  LLFL","Lec","MWF","1400-1450","MCM 262","Obeid, Diana","8","Open",
"9290","BASN 132","1","Applied Music: Bassoon","1","","Lab","","","ARR ","Savige, David","0","Closed",
"8293","BCHM 410","1","Medical Biochemistry","3","","Lec","MWF","1100-1150","FORBES 2070D","Lasseter, Benjamin","0","Closed",
"9283","BCHM 410","2","Medical Biochemistry","3","","Lec","MWF","1000-1050","FORBES 2070A","Lasseter, Benjamin","15","Open",
"8294","BCHM 415","1","Biochemistry II","3","","Lec","MWF","0900-0950","FORBES 2015","Gruber, Todd","24","Open",
"8295","BCHM 415L","1","Biochemistry II Lab","1","","Lab","F","1300-1650","FORBES 1015","Lasseter, Benjamin","2","Open",
"8121","BIOL 108","1","General Biology II","3","  AINW","Lec","TR","1800-1915","FORBES 1022","Jaworski, Kortney","0","Closed",
"8122","BIOL 109L","1","General Biology Laboratory","1","  AINW","Lab","M","1400-1550","FORBES 1027","Loftis, Jon","0","Closed",
"8123","BIOL 109L","2","General Biology Laboratory","1","  AINW","Lab","M","1600-1750","FORBES 1027","Loftis, Jon","0","Closed",
"8124","BIOL 109L","3","General Biology Laboratory","1","  AINW","Lab","M","1800-1950","FORBES 1027","Loftis, Jon","0","Closed",
"8125","BIOL 109L","4","General Biology Laboratory","1","  AINW","Lab","T","1800-1950","FORBES 1027","Lundquist, Adam","0","Closed",
"8126","BIOL 109L","5","General Biology Laboratory","1","  AINW","Lab","R","1800-1950","FORBES 1027","Lundquist, Adam","0","Closed",
"8127","BIOL 109L","6","General Biology Laboratory","1","  AINW","Lab","M","2000-2150","FORBES 1027","Loftis, Jon","0","Closed",
"8128","BIOL 109L","7","General Biology Laboratory","1","  AINW","Lab","T","2000-2150","FORBES 1027","Lundquist, Adam","1","Open",
"8129","BIOL 109L","8","General Biology Laboratory","1","  AINW","Lab","R","2000-2150","FORBES 1027","Lundquist, Adam","10","Open",
"8297","BIOL 113","1","Topics in Medicine and Health","3","  AINW","Lec","MW","1800-1915","FORBES 1022","Horten, Abby","0","Closed",
"8130","BIOL 115","1","Tpcs in Ecology &amp; Environment","3","  AINW","Lec","MWF","1200-1250","FORBES 1022","Atkinson, Robert","0","Closed",
