CRN,Course,Section,Title,Hours,Area of LLC,Type,Days,Time,Location,Instructor,Seats Still Available,STATUS,
"8120","ACCT 200","1","Accounting Concepts","3","","Lec","MW","1600-1715","LUTR 170","Busila, Angela","7","Open",
"8121","ACCT 200","2","Accounting Concepts","3","","Lec","MWF","1100-1150","LUTR 347","Busila, Angela","3","Open",
"8123","ACCT 201","1","Prin of Account I: Financial","3","","Lec","MWF","1400-1450","LUTR 264","Cann-Tamakloe, Ralph","5","Open",
"8124","ACCT 201","2","Prin of Account I: Financial","3","","Lec","MW","1600-1715","LUTR 121","Carpenter, Cornell","4","Open",
"8126","ACCT 201","4","Prin of Account I: Financial","3","","Lec","MWF","0800-0850","LUTR 142","Lingenfelter, Gabriele","0","Closed",
"8127","ACCT 201","5","Prin of Account I: Financial","3","","Lec","MWF","0900-0950","LUTR 170","Lingenfelter, Gabriele","0","Closed",
"8130","ACCT 201","ON1","Prin of Account I: Financial","3","","Lec","MWF","1300-1350","SYN ","Paige, Vivian","0","Closed",
"8131","ACCT 201","ON2","Prin of Account I: Financial","3","","Lec","MWF","1400-1450","SYN ","Paige, Vivian","0","Closed",
"8132","ACCT 201","ON3","Prin of Account I: Financial","3","","Lec","MWF","1000-1050","SYN ","Paige, Vivian","0","Closed",
"8133","ACCT 201","ON4","Prin of Account I: Financial","3","","Lec","MWF","1100-1150","SYN ","Paige, Vivian","0","Closed",
"8125","ACCT 201","ON5","Prin of Account I: Financial","3","","Lec","MW","1800-1915","SYN ","Brooks, Abby-Gayle","0","Closed",
"8134","ACCT 202","1","Prin of Account II: Managerial","3","","Lec","TR","1630-1745","LUTR 139","Morris, Joseph","1","Open",
"8135","ACCT 202","2","Prin of Account II: Managerial","3","","Lec","TR","1800-1915","LUTR 139","Morris, Joseph","11","Open",
"9272","ACCT 202","3","Prin of Account II: Managerial","3","","Lec","MW","1600-1715","LUTR 139","Morris, Joseph","0","Closed",
"8136","ACCT 301","1","Intermediate Accounting I","3","","Lec","TR","1500-1615","LUTR 139","Frucot, Veronique","0","Closed",
"8137","ACCT 301","2","Intermediate Accounting I","3","","Lec","TR","1330-1445","LUTR 139","Frucot, Veronique","0","Closed",
"8138","ACCT 302","1","Intermediate Accounting II","3","","Lec","TR","1100-1215","MCM 114","Chung, Keun Ho","3","Open",
"8140","ACCT 401","1","Taxation","3","","Lec","MW","1800-1915","LUTR 121","Morris, Joseph","0","Closed",
"8141","ACCT 405","1","Auditing","3","","Lec","MWF","1100-1150","LUTR 242","Lingenfelter, Gabriele","0","Closed",
"9291","ACCT 451","1","Govt &amp; Nonprof Acctng &amp; Topics","3","","Lec","TR","0930-1045","LUTR 137","Frucot, Veronique","1","Open",
"9376","ACCT 499","1","IND ST: IFRS Reporting","3","","Ind","","","ARR ","Lingenfelter, Gabriele","0","Closed",
"9242","ACCT 502","1","Adv Tax Planning &amp; Research","3","","Lec","TR","1500-1615","LUTR 142","Bogenschneider, Bret","17","Open",
"9086","AMST 100","10","The American Experiment","3","  AIDE  ","Lec","TR","1800-1915","MCM 262","White, William","0","Closed",
"9087","AMST 100","11","The American Experiment","3","  AIDE  ","Lec","TR","1930-2045","MCM 262","White, William","2","Open",
"9077","AMST 100","1C","The American Experiment","3","  AIDE  ","Lec","MWF","1000-1050","LUTR 347","Kaufer Busch, Elizabeth","0","Closed",
"9078","AMST 100","2M","The American Experiment","3","  AIDE  ","Lec","MWF","1100-1150","LUTR 372","Kaufer Busch, Elizabeth","1","Open",
"9079","AMST 100","3M","The American Experiment","3","  AIDE  ","Lec","TR","1330-1445","FERG T132","White, Jonathan","0","Closed",
"9080","AMST 100","4M","The American Experiment","3","  AIDE  ","Lec","MWF","1300-1350","LUTR 121","Garmon, Frank","5","Open",
"9081","AMST 100","5C","The American Experiment","3","  AIDE  ","Lec","MWF","1200-1250","LUTR 264","Garmon, Frank","0","Closed",
"9082","AMST 100","6M","The American Experiment","3","  AIDE  ","Lec","MWF","1400-1450","LUTR 347","Colby, Robert","0","Closed",
"9083","AMST 100","7","The American Experiment","3","  AIDE  ","Lec","MWF","1500-1550","LUTR 242","Colby, Robert","0","Closed",
"9322","AMST 100","ON1","The American Experiment","3","  AIDE  ","Lec","MW","1930-2045","SYN ","Asalone, Ryan","0","Closed",
"9088","AMST 120","1C","Encounters w/ the Constitution","3","  AIDE","Lec","TR","1100-1215","LUTR 372","White, Jonathan","3","Open",
"9090","AMST 200","1","Evolution-American Experiment","3","  AIWT","Lec","TR","0930-1045","FORBES 3012","Morrison, Jeffry","0","Closed",
"9091","AMST 200","2","Evolution-American Experiment","3","  AIWT","Lec","TR","1330-1445","MCM 210","Morrison, Jeffry","1","Open",
"9092","AMST 300","1","The American Exp: Global Infl","3","  AIGM","Lec","TR","1800-1915","MCM 101","McCarthy, William","0","Closed",
"9258","AMST 340","1","America at Sea","3","","Lec","MW","1800-1915","MCM 362","Nucup, Marc","4","Open",
"9279","AMST 395","1","SPC TP: Music &amp; American Cultr","3","","Lec","TR","1630-1745","MCM 160","Morrison, Jeffry","0","Closed",
"9094","AMST 490","1","WI: Capstone Sem-Amer Studies","3","  WI","Lec","MW","1600-1715","MCM 362","Garmon, Frank","4","Open",
"9029","ANTH 200","ON1","Human Adaptation","3","  AINW","Lec","MWF","1000-1050","SYN ","Loy, Christopher","0","Closed",
"9030","ANTH 200","ON2","Human Adaptation","3","  AINW","Lec","MWF","1100-1150","SYN ","Loy, Christopher","0","Closed",
"9031","ANTH 203","1C","Cultural Anthropology","3","  AIGM","Lec","MWF","0900-0950","FRMN 201","Palmer, Seth","0","Closed",
"9032","ANTH 203","2","Cultural Anthropology","3","  AIGM","Lec","MWF","1000-1050","LUTR 121","Palmer, Seth","0","Closed",
"9033","ANTH 325","ON1","Food and Culture","3","  AIGM","Lec","TR","1100-1215","SYN ","Timmer, Andria","0","Closed",
"9034","ANTH 325","ON2","Food and Culture","3","  AIGM","Lec","TR","1330-1445","SYN ","Timmer, Andria","0","Closed",
"9035","ANTH 377","ON1","Gender and Power","3","  AIGM","Lec","TR","1630-1745","SYN ","Palmer, Seth","0","Closed",
"8921","ARAB 101","1","Beginning Arabic I","3","","Lec","MWF","1000-1050","MCM 310","Obeid, Diana","10","Open",
"8922","ARAB 101","2","Beginning Arabic I","3","","Lec","MWF","1200-1250","FORBES 2070E","Obeid, Diana","3","Open",
"8923","ARAB 201","1","Intermediate Arabic I","3","  LLFL","Lec","MWF","1300-1350","FORBES 2070D","Obeid, Diana","2","Open",
"8924","ARAB 201","2","Intermediate Arabic I","3","  LLFL","Lec","MWF","1400-1450","FORBES 2014","Obeid, Diana","6","Open",
"9323","BASN 231","1","Applied Music: Bassoon","1","","Lab","","","ARR ","Savige, David","0","Closed",
"9221","BCHM 414","ON1","Biochemistry I","3","","Lec","MWF","0800-0850","SYN ","Gruber, Todd","8","Open",
"9222","BCHM 414L","1","Biochemistry I Lab","1","","Lab","F","1300-1650","FORBES 1002","Thorsen, Amanda","15","Open",
"9223","BCHM 414L","2","Biochemistry I Lab","1","","Lab","M","1300-1650","FORBES 1002","Thorsen, Amanda","2","Open",
"8760","BIOL 107","ON1","General Biology I","3","  AINW","Lec","TR","1800-1915","SYN ","Crock, Forrest","0","Closed",
"8761","BIOL 109L","1","General Biology Laboratory","1","  AINW","Lab","M","1400-1550","FORBES 1027","Loftis, Jon","0","Closed",
"8762","BIOL 109L","2","General Biology Laboratory","1","  AINW","Lab","M","1600-1750","FORBES 1027","Loftis, Jon","0","Closed",
